Field,Description,Delay,Type,USA,CHN
anl4_actualqfv4_item,Financial item,1,vector,—,28%
anl4_adjusted_netincome_ft,Adjusted net income - forecast type (revision/new/...),1,matrix,87%,100%
anl4_ads1detailafv110_bk,Broker name (int),1,vector,69%,—
anl4_ads1detailafv110_estvalue,Estimation value,1,vector,69%,—
anl4_ads1detailafv110_person,Broker Id,1,vector,69%,—
anl4_ads1detailafv110_prevval,The previous estimation of finanicial item,1,vector,69%,—
anl4_ads1detailqfv110_bk,Broker name (int),1,vector,63%,—
anl4_ads1detailqfv110_estvalue,Estimation value,1,vector,63%,—
anl4_ads1detailqfv110_person,Broker Id,1,vector,63%,—
anl4_ads1detailqfv110_prevval,The previous estimation of finanicial item,1,vector,63%,—
anl4_adxqf_down,Number of lower estimations,0,vector,70%,—
anl4_adxqf_high,The highest estimation,0,vector,70%,—
anl4_adxqf_low,The lowest estimation,0,vector,70%,—
anl4_adxqf_mean,Mean of estimations,0,vector,70%,—
anl4_adxqf_median,Median of estimations,0,vector,70%,—
anl4_adxqf_numest,The number of forecasts counted in aggregation,0,vector,70%,—
anl4_adxqf_pu,The number of upper estimations,0,vector,70%,—
anl4_adxqfv110_down,Number of lower estimations,1,vector,70%,—
anl4_adxqfv110_high,The highest estimation,1,vector,70%,—
anl4_adxqfv110_low,The lowest estimation,1,vector,70%,—
anl4_adxqfv110_mean,Mean of estimations,1,vector,70%,—
anl4_adxqfv110_median,Median of estimations,1,vector,70%,—
anl4_adxqfv110_numest,The number of forecasts counted in aggregation,1,vector,70%,—
anl4_adxqfv110_pu,The number of upper estimations,1,vector,70%,—
anl4_ady_down,Number of lower estimations,0,vector,72%,—
anl4_ady_down,Number of lower estimations,1,vector,72%,—
anl4_ady_high,The highest estimation,0,vector,72%,—
anl4_ady_high,The highest estimation,1,vector,72%,—
anl4_ady_low,The lowest estimation,0,vector,72%,—
anl4_ady_low,The lowest estimation,1,vector,72%,—
anl4_ady_mean,Mean of estimations,0,vector,72%,—
anl4_ady_mean,Mean of estimations,1,vector,72%,—
anl4_ady_median,Median of estimations,0,vector,72%,—
anl4_ady_median,Median of estimations,1,vector,72%,—
anl4_ady_numest,The number of forecasts counted in aggregation,0,vector,72%,—
anl4_ady_numest,The number of forecasts counted in aggregation,1,vector,72%,—
anl4_ady_pu,The number of upper estimations,0,vector,72%,—
anl4_ady_pu,The number of upper estimations,1,vector,72%,—
anl4_afv4_cfps_high,Cash Flow - The highest estimation, per share,1,matrix,—,71%
anl4_afv4_cfps_low,Cash Flow Per Share - The lowest estimation,1,matrix,—,71%
anl4_afv4_cfps_mean,Cash Flow Per Share - average of estimations,1,matrix,—,71%
anl4_afv4_cfps_median,Cash Flow Per Share - Median value among forecasts,1,matrix,—,71%
