Field,Description,Delay,Type,USA,CHN
mdl175_01am,10-day moving average,0,matrix,—,100%
mdl175_01am,10-day moving average,1,matrix,—,100%
mdl175_01ame,10-day exponential moving average,0,matrix,—,100%
mdl175_01ame,10-day exponential moving average,1,matrix,—,100%
mdl175_01amev,10-day Exponential moving average of volume,0,matrix,—,100%
mdl175_01amev,10-day Exponential moving average of volume,1,matrix,—,100%
mdl175_01dtsv,10-day volume standard deviation,0,matrix,—,100%
mdl175_01dtsv,10-day volume standard deviation,1,matrix,—,100%
mdl175_01icc,10-day commodity channel index,0,matrix,—,100%
mdl175_01icc,10-day commodity channel index,1,matrix,—,100%
mdl175_021am,120-day moving average,0,matrix,—,100%
mdl175_021am,120-day moving average,1,matrix,—,100%
mdl175_021ame,120-day exponential moving average,0,matrix,—,100%
mdl175_021ame,120-day exponential moving average,1,matrix,—,100%
mdl175_02am,20-day moving average,0,matrix,—,100%
mdl175_02am,20-day moving average,1,matrix,—,100%
mdl175_02ame,20-day exponential moving average,0,matrix,—,100%
mdl175_02ame,20-day exponential moving average,1,matrix,—,100%
mdl175_02amvt,20-day turnover value moving average,0,matrix,—,100%
mdl175_02amvt,20-day turnover value moving average,1,matrix,—,100%
mdl175_02da,20-day Accumulation / Distribution line,0,matrix,—,100%
mdl175_02da,20-day Accumulation / Distribution line,1,matrix,—,100%
mdl175_02dca,20-day accumulation / Distribution,0,matrix,—,100%
mdl175_02dca,20-day accumulation / Distribution,1,matrix,—,100%
mdl175_02dtsv,20-day volume standard deviation,0,matrix,—,100%
mdl175_02dtsv,20-day volume standard deviation,1,matrix,—,100%
mdl175_02dtsvt,20-day turnover value standard deviation,0,matrix,—,100%
mdl175_02dtsvt,20-day turnover value standard deviation,1,matrix,—,100%
mdl175_02icc,20-day commodity channel index,0,matrix,—,100%
mdl175_02icc,20-day commodity channel index,1,matrix,—,100%
mdl175_02rc,price movement indicator, compare buying power and selling power to previous mid price (20 days),0,matrix,—,100%
mdl175_02rc,price movement indicator, compare buying power and selling power to previous mid price (20 days),1,matrix,—,100%
mdl175_02sqdj,20-day relative strength to market,0,matrix,—,100%
mdl175_02sqdj,20-day relative strength to market,1,matrix,—,100%
mdl175_02vbo,20-day on balance volume,0,matrix,—,100%
mdl175_02vbo,20-day on balance volume,1,matrix,—,100%
mdl175_06am,60-day moving average,0,matrix,—,100%
mdl175_06am,60-day moving average,1,matrix,—,100%
mdl175_06ame,60-day exponential moving average,0,matrix,—,100%
mdl175_06ame,60-day exponential moving average,1,matrix,—,100%
mdl175_21ame,12-day exponential moving average,0,matrix,—,100%
mdl175_21ame,12-day exponential moving average,1,matrix,—,100%
mdl175_21amev,12-day Exponential moving average of volume,0,matrix,—,100%
mdl175_21amev,12-day Exponential moving average of volume,1,matrix,—,100%
mdl175_21cr,12-day rate of change,0,matrix,—,100%
mdl175_21cr,12-day rate of change,1,matrix,—,100%
mdl175_21crlp,12-day price linear regression coefficient,0,matrix,—,100%
mdl175_21crlp,12-day price linear regression coefficient,1,matrix,—,100%
mdl175_21rtsr,Relative strength for the last 12 months,0,matrix,—,100%
mdl175_21rtsr,Relative strength for the last 12 months,1,matrix,—,100%
mdl175_21tvp,12-day average price and volume trend,0,matrix,—,100%
mdl175_21tvp,12-day average price and volume trend,1,matrix,—,100%
mdl175_405rtsr,Relative strength for the last 504 trading days,0,matrix,—,100%
mdl175_405rtsr,Relative strength for the last 504 trading days,1,matrix,—,100%
mdl175_41rta,14-day average true range,0,matrix,—,100%
