Field,Description,Delay,Type,USA,CHN
nws18_acb,News sentiment specializing in corporate action announcements,0,vector,100%,—
nws18_acb,News sentiment specializing in corporate action announcements,1,vector,100%,—
nws18_bam,News sentiment specializing in mergers and acquisitions,0,vector,100%,—
nws18_bam,News sentiment specializing in mergers and acquisitions,1,vector,100%,—
nws18_bee,News sentiment specializing in growth of earnings,0,vector,100%,—
nws18_bee,News sentiment specializing in growth of earnings,1,vector,100%,—
nws18_ber,News sentiment specializing in earnings result,0,vector,100%,—
nws18_ber,News sentiment specializing in earnings result,1,vector,100%,—
nws18_event_relevance,Relevance of the event to the story,0,vector,100%,—
nws18_event_relevance,Relevance of the event to the story,1,vector,100%,—
nws18_event_similarity_days,Days since a similar event was detected,0,vector,100%,—
nws18_event_similarity_days,Days since a similar event was detected,1,vector,100%,—
nws18_ghc_lna,Change in analyst recommendation,0,vector,100%,—
nws18_ghc_lna,Change in analyst recommendation,1,vector,100%,—
nws18_nip,Degree of impact of the news,0,vector,100%,—
nws18_nip,Degree of impact of the news,1,vector,100%,—
nws18_qcm,News sentiment of relevant news with high confidence,0,vector,100%,—
nws18_qcm,News sentiment of relevant news with high confidence,1,vector,100%,—
nws18_qep,News sentiment based on positive and negative words on global equity,0,vector,100%,—
nws18_qep,News sentiment based on positive and negative words on global equity,1,vector,100%,—
nws18_qmb,News sentiment specializing in editorials on global markets,0,vector,100%,—
nws18_qmb,News sentiment specializing in editorials on global markets,1,vector,100%,—
nws18_relevance,Relevance of news to the company,0,vector,100%,—
nws18_relevance,Relevance of news to the company,1,vector,100%,—
nws18_ssc,Sentiment of the news calculated using multiple techniques,0,vector,100%,—
nws18_ssc,Sentiment of the news calculated using multiple techniques,1,vector,100%,—
nws18_sse,Sentiment of phrases impacting the company,0,vector,100%,—
nws18_sse,Sentiment of phrases impacting the company,1,vector,100%,—
rp_css_assets,Composite sentiment score of assets news,1,matrix,74%,—
rp_css_business,Composite sentiment score of business related news,1,matrix,100%,—
rp_css_credit,Composite sentiment score of credit news,1,matrix,29%,—
rp_css_credit_ratings,Composite sentiment score of credit ratings news,1,matrix,22%,—
rp_css_dividends,Composite sentiment score of dividends news,1,matrix,51%,—
rp_css_earnings,Composite sentiment score of earnings news,1,matrix,98%,—
rp_css_equity,Composite sentiment score of equity action news,1,matrix,86%,—
rp_css_insider,Composite sentiment score of insider trading news,1,matrix,67%,—
rp_css_inverstor,Composite sentiment score of inverstor relations news,1,matrix,93%,—
rp_css_labor,Composite sentiment score of labor issues news,1,matrix,56%,—
rp_css_legal,Composite sentiment score of legal news,1,matrix,22%,—
rp_css_marketing,Composite sentiment score of marketing news,1,matrix,36%,—
rp_css_mna,Composite sentiment score of mergers and aquisitions related news,1,matrix,68%,—
rp_css_partner,Composite sentiment score of partnership news,1,matrix,43%,—
rp_css_price,Composite sentiment score of stock price news,1,matrix,84%,—
rp_css_product,Composite sentiment score of product and service related news,1,matrix,76%,—
rp_css_ptg,Composite sentiment score of price target news,1,matrix,38%,—
rp_css_ratings,Composite sentiment score of analyst ratings related news,1,matrix,76%,—
rp_css_revenue,Composite sentiment score of revenue news,1,matrix,94%,—
rp_css_society,Composite sentiment score of society related news,1,matrix,25%,—
rp_css_technical,Composite sentiment score based on technical analysis,1,matrix,32%,—
rp_ess_assets,Event sentiment score of assets news,1,matrix,74%,—
rp_ess_business,Event sentiment score of business related news,1,matrix,100%,—
rp_ess_credit,Event sentiment score of credit news,1,matrix,29%,—
rp_ess_credit_ratings,Event sentiment score of credit ratings news,1,matrix,22%,—
rp_ess_dividends,Event sentiment score of dividends news,1,matrix,51%,—
rp_ess_earnings,Event sentiment score of earnings news,1,matrix,98%,—
rp_ess_equity,Event sentiment score of equity action news,1,matrix,86%,—
rp_ess_insider,Event sentiment score of insider trading news,1,matrix,67%,—
rp_ess_labor,Event sentiment score of labor issues news,1,matrix,56%,—
rp_ess_legal,Event sentiment score of legal news,1,matrix,22%,—
rp_ess_mna,Event sentiment score of mergers and aquisitions related news,1,matrix,68%,—
rp_ess_partner,Event sentiment score of partnership news,1,matrix,43%,—
rp_ess_price,Event sentiment score of stock price news,1,matrix,84%,—
rp_ess_product,Event sentiment score of product and service related news,1,matrix,76%,—
rp_ess_ptg,Event sentiment score of price target news,1,matrix,38%,—
rp_ess_ratings,Event sentiment score of analyst ratings related news,1,matrix,76%,—
rp_ess_revenue,Event sentiment score of revenue news,1,matrix,94%,—
rp_ess_society,Event sentiment score of society related news,1,matrix,25%,—
rp_ess_technical,Event sentiment score based on technical analysis,1,matrix,32%,—
rp_nip_assets,News impact projection of assets news,1,matrix,74%,—
rp_nip_business,News impact projection of business related news,1,matrix,100%,—
rp_nip_credit,News impact projection of credit news,1,matrix,29%,—
rp_nip_credit_ratings,News impact projection of credit ratings news,1,matrix,22%,—
rp_nip_dividends,News impact projection of dividends news,1,matrix,51%,—
rp_nip_earnings,News impact projection of earnings news,1,matrix,98%,—
rp_nip_equity,News impact projection of equity action news,1,matrix,86%,—
rp_nip_insider,News impact projection of insider trading news,1,matrix,67%,—
rp_nip_inverstor,News impact projection of inverstor relations news,1,matrix,93%,—
rp_nip_labor,News impact projection of labor issues news,1,matrix,56%,—
rp_nip_legal,News impact projection of legal news,1,matrix,22%,—
rp_nip_marketing,News impact projection of marketing news,1,matrix,36%,—
rp_nip_mna,News impact projection of mergers and aquisitions related news,1,matrix,68%,—
rp_nip_partner,News impact projection of partnership news,1,matrix,43%,—
rp_nip_price,News impact projection of stock price news,1,matrix,84%,—
rp_nip_product,News impact projection of product and service related news,1,matrix,76%,—
rp_nip_ptg,News impact projection of price target news,1,matrix,38%,—
rp_nip_ratings,News impact projection of analyst ratings related news,1,matrix,76%,—
rp_nip_revenue,News impact projection of revenue news,1,matrix,94%,—
rp_nip_society,News impact projection of society related news,1,matrix,25%,—
rp_nip_technical,News impact projection based on technical analysis,1,matrix,32%,— 
news_all_vwap,Volume weighted average price of all sessions,0,matrix,73%,—
news_all_vwap,Volume weighted average price of all sessions,1,matrix,73%,—
news_atr14,Fourteen day Average True Range,0,matrix,90%,—
news_atr14,Fourteen day Average True Range,1,matrix,89%,—
news_atr_ratio,Ratio of Today Range to 20 day average true range,0,matrix,80%,—
news_atr_ratio,Ratio of Today Range to 20 day average true range,1,matrix,80%,—
news_cap,Reported market capitalization for the calendar day of the session,0,matrix,83%,—
news_cap,Reported market capitalization for the calendar day of the session,1,matrix,83%,—
news_close_vol,Main close volume,0,matrix,70%,—
news_close_vol,Main close volume,1,matrix,69%,—
news_curr_vol,Current day's session volume,0,matrix,78%,—
news_curr_vol,Current day's session volume,1,matrix,78%,—
news_dividend_yield,Annual yield,0,matrix,86%,—
news_dividend_yield,Annual yield,1,matrix,85%,—
news_eod_close,Close price of the session,0,matrix,88%,—
news_eod_close,Close price of the session,1,matrix,88%,—
news_eod_high,Highest price reached between the time of news and the end of the session,0,matrix,97%,—
news_eod_high,Highest price reached between the time of news and the end of the session,1,matrix,97%,—
news_eod_low,Lowest price reached between the time of news and the end of the session.,0,matrix,97%,—
news_eod_low,Lowest price reached between the time of news and the end of the session.,1,matrix,97%,—
news_eod_vwap,volume weighted average price between the time of news and the end of the session.,0,matrix,97%,—
news_eod_vwap,volume weighted average price between the time of news and the end of the session.,1,matrix,97%,—
news_eps_actual,The actual Earnings Per Share value that was conveyed by the news release,0,matrix,97%,—
news_eps_actual,The actual Earnings Per Share value that was conveyed by the news release,1,matrix,96%,—
news_high_exc_stddev,(EODHigh - TONLast)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,0,matrix,97%,—
news_high_exc_stddev,(EODHigh - TONLast)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,1,matrix,97%,—
news_indx_perf,((EODClose - TONLast) / TONLast) - ((SPYClose - SPYLast) / SPYLast),0,matrix,97%,—
news_indx_perf,((EODClose - TONLast) / TONLast) - ((SPYClose - SPYLast) / SPYLast),1,matrix,97%,—
news_low_exc_stddev,(TONLast - EODLow)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,0,matrix,97%,—
news_low_exc_stddev,(TONLast - EODLow)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,1,matrix,97%,—
news_ls,Whether a long or short position would have been more advantageous: If (EODHigh - Last) > (Last - EODLow) Then LS = 1; If (EODHigh - Last) = (Last - EODLow) Then LS= 0; If (EODHigh - Last) < (Last - EODLow) Then LS = -1.,0,matrix,48%,—
news_ls,Whether a long or short position would have been more advantageous: If (EODHigh - Last) > (Last - EODLow) Then LS = 1; If (EODHigh - Last) = (Last - EODLow) Then LS= 0; If (EODHigh - Last) < (Last - EODLow) Then LS = -1.,1,matrix,49%,—
news_main_vwap,Main session volume weighted average price,0,matrix,97%,—
news_main_vwap,Main session volume weighted average price,1,matrix,97%,—
news_max_dn_amt,The price at the time of the news minus the after the news low,0,matrix,97%,—
news_max_dn_amt,The price at the time of the news minus the after the news low,1,matrix,97%,—
news_max_dn_ret,Percent change from the price at the time of the news to the after the news low,0,matrix,97%,—
